Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Tue Jun 25 13:35:34 2019
| Host         : T3 running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_utilization -hierarchical_percentages -hierarchical -file /home/klara/magisterka/seriaPomiarow/1000/1000_hierarchical_percentage.txt
| Design       : main
| Device       : xcvu9pflga2104-3
| Design State : Routed
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+-----------------------------------+------------------+------------------+--------------+--------------+------------------+--------------+---------------+--------------+--------------+
|                 Instance                 |               Module              |    Total LUTs    |    Logic LUTs    |    LUTRAMs   |     SRLs     |        FFs       |    RAMB36    |     RAMB18    |     URAM     | DSP48 Blocks |
+------------------------------------------+-----------------------------------+------------------+------------------+--------------+--------------+------------------+--------------+---------------+--------------+--------------+
| main                                     |                             (top) | 95888(8,115705%) | 95888(8,115705%) | 0(0,005000%) | 0(0,005000%) | 52141(2,210178%) | 0(0,005000%) | 10(0,236481%) | 0(0,005000%) | 0(0,005000%) |
|   (main)                                 |                             (top) |     0(0,005000%) |     0(0,005000%) | 0(0,005000%) | 0(0,005000%) |     0(0,005000%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|   ARRAY_OF_TCAM_INST                     |                     array_of_tcam | 69840(5,912430%) | 69840(5,912430%) | 0(0,005000%) | 0(0,005000%) | 10000(0,427926%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[0].TCAM_INST       |                           tcam__1 |  6930(0,591175%) |  6930(0,591175%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[1].TCAM_INST       |                           tcam__2 |  6956(0,593375%) |  6956(0,593375%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[2].TCAM_INST       |                           tcam__3 |  6980(0,595405%) |  6980(0,595405%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[3].TCAM_INST       |                           tcam__4 |  6987(0,595997%) |  6987(0,595997%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[4].TCAM_INST       |                           tcam__5 |  6989(0,596166%) |  6989(0,596166%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[5].TCAM_INST       |                           tcam__6 |  6998(0,596927%) |  6998(0,596927%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[6].TCAM_INST       |                           tcam__7 |  7000(0,597096%) |  7000(0,597096%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[7].TCAM_INST       |                           tcam__8 |  7000(0,597096%) |  7000(0,597096%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[8].TCAM_INST       |                           tcam__9 |  7000(0,597096%) |  7000(0,597096%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_TCAM_MEMORIES[9].TCAM_INST       |                              tcam |  7000(0,597096%) |  7000(0,597096%) | 0(0,005000%) | 0(0,005000%) |  1000(0,047293%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|   ENCODER_INST                           |                           encoder | 26048(2,208275%) | 26048(2,208275%) | 0(0,005000%) | 0(0,005000%) | 42141(1,787252%) | 0(0,005000%) | 10(0,236481%) | 0(0,005000%) | 0(0,005000%) |
|     (ENCODER_INST)                       |                           encoder | 26048(2,208275%) | 26048(2,208275%) | 0(0,005000%) | 0(0,005000%) | 42141(1,787252%) | 0(0,005000%) |  0(0,005000%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[0].DECODER_OUT_MEM |                  xpm_memory_spram |     0(0,005000%) |     0(0,005000%) | 0(0,005000%) | 0(0,005000%) |     0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |                   xpm_memory_base |     0(0,005000%) |     0(0,005000%) | 0(0,005000%) | 0(0,005000%) |     0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[1].DECODER_OUT_MEM |  xpm_memory_spram__parameterized1 |     0(0,005000%) |     0(0,005000%) | 0(0,005000%) | 0(0,005000%) |     0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
